Date,Open,High,Low,Close,Adj Close,Volume
2021-09-30,9.920000,9.920000,9.870000,9.870000,9.870000,1100
2021-10-01,9.870000,9.870000,9.870000,9.870000,9.870000,0
2021-10-04,10.700000,10.740000,9.830000,9.850000,9.850000,34100
2021-10-05,9.890000,9.890000,9.850000,9.860000,9.860000,5800
2021-10-06,9.860000,9.860000,9.860000,9.860000,9.860000,0
2021-10-07,9.880000,9.880000,9.880000,9.880000,9.880000,1000
2021-10-08,9.880000,9.880000,9.880000,9.880000,9.880000,0
2021-10-11,9.880000,9.880000,9.880000,9.880000,9.880000,0
2021-10-12,9.870000,9.870000,9.870000,9.870000,9.870000,200
2021-10-13,9.870000,9.870000,9.870000,9.870000,9.870000,0
2021-10-14,9.880000,9.880000,9.870000,9.870000,9.870000,4200
2021-10-15,9.920000,9.920000,9.920000,9.920000,9.920000,200
2021-10-18,9.870000,9.870000,9.860000,9.860000,9.860000,8300
2021-10-19,9.850000,9.850000,9.850000,9.850000,9.850000,1500
2021-10-20,9.850000,9.870000,9.840000,9.840000,9.840000,2020400
2021-10-21,9.890000,9.910000,9.880000,9.890000,9.890000,1200
2021-10-22,9.900000,9.920000,9.850000,9.880000,9.880000,9100
2021-10-25,9.890000,9.890000,9.880000,9.880000,9.880000,500
2021-10-26,9.880000,9.880000,9.880000,9.880000,9.880000,0
2021-10-27,9.900000,9.900000,9.900000,9.900000,9.900000,200
2021-10-28,9.880000,9.880000,9.880000,9.880000,9.880000,100
2021-10-29,10.490000,10.490000,9.730000,9.730000,9.730000,1500
2021-11-01,9.820000,9.880000,9.820000,9.880000,9.880000,600
2021-11-02,9.890000,9.890000,9.890000,9.890000,9.890000,400
2021-11-03,9.860000,9.885000,9.860000,9.860000,9.860000,4400
2021-11-04,9.890000,9.890000,9.890000,9.890000,9.890000,500
2021-11-05,9.890000,9.890000,9.890000,9.890000,9.890000,100
2021-11-08,9.890000,9.890000,9.890000,9.890000,9.890000,0
2021-11-09,9.890000,9.890000,9.890000,9.890000,9.890000,0
2021-11-10,9.870000,9.870000,9.870000,9.870000,9.870000,500
2021-11-11,9.870000,9.870000,9.870000,9.870000,9.870000,0
2021-11-12,9.870000,9.870000,9.870000,9.870000,9.870000,0
2021-11-15,9.870000,9.870000,9.870000,9.870000,9.870000,0
2021-11-16,9.880000,9.900000,9.880000,9.900000,9.900000,212100
2021-11-17,9.860000,11.420000,9.860000,9.900000,9.900000,13100
2021-11-18,9.885000,9.885000,9.885000,9.885000,9.885000,200
2021-11-19,9.870000,9.900000,9.870000,9.900000,9.900000,2500
2021-11-22,9.900000,9.900000,9.900000,9.900000,9.900000,0
2021-11-23,9.860000,9.860000,9.860000,9.860000,9.860000,2200
2021-11-24,9.870000,9.890000,9.860000,9.860000,9.860000,149300
2021-11-26,9.860000,9.860000,9.860000,9.860000,9.860000,3600
2021-11-29,9.860000,9.870000,9.860000,9.860000,9.860000,500
2021-11-30,9.860000,9.860000,9.860000,9.860000,9.860000,0
2021-12-01,9.860000,9.860000,9.860000,9.860000,9.860000,0
2021-12-02,9.860000,9.860000,9.860000,9.860000,9.860000,0
2021-12-03,9.860000,9.860000,9.860000,9.860000,9.860000,0
2021-12-06,10.070000,10.070000,10.070000,10.070000,10.070000,300
2021-12-07,10.020000,10.020000,9.860000,9.860000,9.860000,2100
2021-12-08,9.880000,9.890000,9.880000,9.890000,9.890000,900
2021-12-09,9.860000,9.880000,9.860000,9.880000,9.880000,2100
2021-12-10,9.880000,9.880000,9.880000,9.880000,9.880000,2400
2021-12-13,9.860000,9.880000,9.850000,9.880000,9.880000,400500
2021-12-14,9.880000,9.880000,9.880000,9.880000,9.880000,7000
2021-12-15,9.780000,9.840000,9.780000,9.840000,9.840000,2100
2021-12-16,9.840000,9.840000,9.840000,9.840000,9.840000,0
2021-12-17,9.870000,9.870000,9.850000,9.850000,9.850000,2400
2021-12-20,9.820000,9.860000,9.820000,9.860000,9.860000,1500
2021-12-21,9.860000,9.860000,9.860000,9.860000,9.860000,0
2021-12-22,9.860000,9.860000,9.860000,9.860000,9.860000,35100
2021-12-23,9.870000,9.900000,9.870000,9.900000,9.900000,5500
2021-12-27,9.900000,9.900000,9.880000,9.880000,9.880000,1100
2021-12-28,9.900000,9.900000,9.900000,9.900000,9.900000,100
2021-12-29,9.900000,9.900000,9.900000,9.900000,9.900000,0
2021-12-30,9.860000,9.880000,9.860000,9.880000,9.880000,800
2021-12-31,9.880000,9.880000,9.880000,9.880000,9.880000,0
2022-01-03,9.880000,9.880000,9.880000,9.880000,9.880000,0
2022-01-04,9.880000,9.880000,9.880000,9.880000,9.880000,0
2022-01-05,9.880000,9.880000,9.880000,9.880000,9.880000,5200
2022-01-06,9.880000,9.880000,9.880000,9.880000,9.880000,0
2022-01-07,9.900000,9.930000,9.900000,9.930000,9.930000,2200
2022-01-10,9.930000,9.930000,9.930000,9.930000,9.930000,0
2022-01-11,9.930000,9.930000,9.930000,9.930000,9.930000,0
2022-01-12,9.880000,9.880000,9.880000,9.880000,9.880000,100
2022-01-13,9.890000,9.890000,9.890000,9.890000,9.890000,5200
2022-01-14,9.780000,9.890000,9.780000,9.890000,9.890000,200400
2022-01-18,9.890000,9.890000,9.890000,9.890000,9.890000,0
2022-01-19,9.890000,9.955000,9.880000,9.890000,9.890000,218100
2022-01-20,9.900000,9.910000,9.880000,9.895000,9.895000,98000
2022-01-21,9.890000,9.950000,9.880000,9.880000,9.880000,194500
2022-01-24,9.870000,9.895000,9.870000,9.895000,9.895000,53900
2022-01-25,9.870000,9.870000,9.870000,9.870000,9.870000,4300
2022-01-26,9.880000,9.890000,9.880000,9.880000,9.880000,12700
